SKU,Product Description,Range,Trade Price,Product Page URL,Datasheet URL,Product Image URL
TPDM1020PSEY1,1 Mtr Eyelet Carabiner Suspension System,STRUT-LOCK,8.77,,,
TPDM1020PSEY2,2 Mtr Eyelet Carabiner Suspension System,STRUT-LOCK,9.23,,,
TPDM1020PSEY3,3 Mtr Eyelet Carabiner Suspension System,STRUT-LOCK,9.69,,,
TPDM1020PSEY4,4 Mtr Eyelet Carabiner Suspension System,STRUT-LOCK,10.16,,,
TPDM1020PSEY5,5 Mtr Eyelet Carabiner Suspension System,STRUT-LOCK,11.62,,,
TPDM1020PSEY10,10 Mtr Eyelet Carabiner Suspension System,STRUT-LOCK,14.15,,,
TPDM820ULS1,1 Mtr Angle Bracket Suspension System,STRUT-LOCK,7.35,,,
TPDM820ULS2,2 Mtr Angle Bracket Suspension System,STRUT-LOCK,7.65,,,
TPDM820ULS3,3 Mtr Angle Bracket Suspension System,STRUT-LOCK,7.96,,,
TPDM820ULS4,4 Mtr Angle Bracket Suspension System,STRUT-LOCK,8.26,,,
TPDM820ULS5,5 Mtr Angle Bracket Suspension System,STRUT-LOCK,9.37,,,
TPDM820ULS10,10 Mtr Angle Bracket Suspension System,STRUT-LOCK,11.04,,,
PLR1,1 Mtr loop suspension system,PLUS ON-WIRE,6.0,,,
PLR2,2 Mtr loop suspension system,PLUS ON-WIRE,6.75,,,
PLR3,3 Mtr loop suspension system,PLUS ON-WIRE,7.51,,,
PLR4,4 Mtr loop suspension system,PLUS ON-WIRE,8.26,,,
PLR5,5 Mtr loop suspension system,PLUS ON-WIRE,9.86,,,
PLR10,10 Mtr loop suspension system,PLUS ON-WIRE,16.44,,,
PLR1C,1 Mtr concrete suspension system,PLUS ON-WIRE,6.51,,,
PLR2C,2 Mtr concrete suspension system,PLUS ON-WIRE,7.25,,,
PLR3C,3 Mtr concrete suspension system,PLUS ON-WIRE,8.01,,,
PLR4C,4 Mtr concrete suspension system,PLUS ON-WIRE,8.78,,,
PLR5C,5 Mtr concrete suspension system,PLUS ON-WIRE,10.42,,,
PL10C,10 Mtr concrete suspension system,PLUS ON-WIRE,17.09,,,
PLR1E8,1 Mtr M8x60 threaded suspension system,PLUS ON-WIRE,7.71,,,
PLR2E8,2 Mtr M8x60 threaded suspension system,PLUS ON-WIRE,8.46,,,
PLR3E8,3 Mtr M8x60 threaded suspension system,PLUS ON-WIRE,9.22,,,
PLR4E8,4 Mtr M8x60 threaded suspension system,PLUS ON-WIRE,9.97,,,
PLR5E8,5 Mtr M8x60 threaded suspension system,PLUS ON-WIRE,11.74,,,
PLR10E8,10 Mtr M8x60 threaded suspension system,PLUS ON-WIRE,17.04,,,
PLU02,Plus Clip,PLUS ON-WIRE,3.59,,,
KV100/LPS1,1 Mtr rectangular duct loop suspension system,DUCT-LOCK,7.74,,,
KV100/LPS2,2 Mtr rectangular duct loop suspension system,DUCT-LOCK,8.04,,,
KV100/LPS3,3 Mtr rectangular duct loop suspension system,DUCT-LOCK,8.36,,,
KV100/LPS4,4 Mtr rectangular duct loop suspension system,DUCT-LOCK,8.68,,,
KV100/LPS5,5 Mtr rectangular duct loop suspension system,DUCT-LOCK,9.84,,,
KV100/LPS10,10 Mtr rectangular duct loop suspension system,DUCT-LOCK,13.62,,,
KV100/CLS1,1 Mtr rectangular duct concrete suspension system,DUCT-LOCK,7.99,,,
KV100/CLS2,2 Mtr rectangular duct concrete suspension system,DUCT-LOCK,8.31,,,
KV100/CLS3,3 Mtr rectangular duct concrete suspension system,DUCT-LOCK,8.62,,,
KV100/CLS4,4 Mtr rectangular duct concrete suspension system,DUCT-LOCK,8.94,,,
KV100/CLS5,5 Mtr rectangular duct concrete suspension system,DUCT-LOCK,10.13,,,
KV100/CLS10,10 Mtr rectangular duct concrete suspension system,DUCT-LOCK,13.95,,,
KV100/M820THS1,1 Mtr rectangular duct M8x20 threaded suspension system,DUCT-LOCK,8.28,,,
KV100/M820THS2,2 Mtr rectangular duct M8x20 threaded suspension system,DUCT-LOCK,8.59,,,
KV100/M820THS3,3 Mtr rectangular duct M8x20 threaded suspension system,DUCT-LOCK,8.91,,,
KV100/M820THS4,4 Mtr rectangular duct M8x20 threaded suspension system,DUCT-LOCK,9.23,,,
KV100/M820THS5,5 Mtr rectangular duct M8x20 threaded suspension system,DUCT-LOCK,10.44,,,
KV100/M820THS10,10 Mtr rectangular duct M8x20 threaded suspension system,DUCT-LOCK,14.33,,,
TRS50-200,300mm eyelet carabiner suspension system,TRY-LOCK,3.03,,,
TRS300-400,460mm eyelet carabiner suspension system,TRY-LOCK,4.07,,,
TRY50-200,300mm eyelet carabiner suspension system,TRY-LOCK,7.55,,,
TRY300-400,460mm eyelet carabiner suspension system,TRY-LOCK,7.95,,,
LUMG50-200,300mm toggle suspension system,LUMA-LOCK,2.77,,,
LUMG300-400,460mm toggle suspension system,LUMA-LOCK,3.61,,,
LUMG600,550mm toggle suspension system,LUMA-LOCK,4.08,,,
LUM50-200,300mm toggle suspension system,LUMA-LOCK,3.03,,,
LUM300-400,460mm toggle suspension system,LUMA-LOCK,4.07,,,
LUM600,550mm toggle suspension system,LUMA-LOCK,4.68,,,
YTR1S/300,1 Mtr x 300mm eyelet carabiner suspension system,Y-IT,6.93,,,
YTR2S/300,2 Mtr x 300mm eyelet carabiner suspension system,Y-IT,7.26,,,
YTR3S/300,3 Mtr x 300mm eyelet carabiner suspension system,Y-IT,7.6,,,
YTR1S/460,1 Mtr x 460mm eyelet carabiner suspension system,Y-IT,7.0,,,
YTR2S/460,2 Mtr x 460mm eyelet carabiner suspension system,Y-IT,7.34,,,
YTR3S/460,3 Mtr x 460mm eyelet carabiner suspension system,Y-IT,7.67,,,
YTR1Y/300,1 Mtr x 300mm eyelet carabiner suspension system,Y-IT,9.01,,,
YTR2Y/300,2 Mtr x 300mm eyelet carabiner suspension system,Y-IT,9.52,,,
YTR3Y/300,3 Mtr x 300mm eyelet carabiner suspension system,Y-IT,10.03,,,
YTR1Y/460,1 Mtr x 460mm eyelet carabiner suspension system,Y-IT,9.01,,,
YTR2Y/460,2 Mtr x 460mm eyelet carabiner suspension system,Y-IT,9.52,,,
YTR3Y/460,3 Mtr x 460mm eyelet carabiner suspension system,Y-IT,10.03,,,
YLM1G/300,1 Mtr x 300mm toggle carabiner suspension system,Y-IT,6.01,,,
YLM2G/300,2 Mtr x 300mm toggle carabiner suspension system,Y-IT,6.28,,,
YLM3G/300,3 Mtr x 300mm toggle carabiner suspension system,Y-IT,6.57,,,
YLM1G/600,1 Mtr x 600mm toggle carabiner suspension system,Y-IT,6.19,,,
YLM2G/600,2 Mtr x 600mm toggle carabiner suspension system,Y-IT,6.44,,,
YLM3G/600,3 Mtr x 600mm toggle carabiner suspension system,Y-IT,6.73,,,
YLM1S/300,1 Mtr x 300mm toggle carabiner suspension system,Y-IT,6.93,,,
YLM2S/300,2 Mtr x 300mm toggle carabiner suspension system,Y-IT,7.26,,,
YLM3S/300,3 Mtr x 300mm toggle carabiner suspension system,Y-IT,7.6,,,
YLM1S/460,1 Mtr x 460mm toggle carabiner suspension system,Y-IT,7.0,,,
YLM2S/460,2 Mtr x 460mm toggle carabiner suspension system,Y-IT,7.34,,,
YLM3S/460,3 Mtr x 460mm toggle carabiner suspension system,Y-IT,7.67,,,
YLM1Y/300,1 Mtr x 300mm toggle carabiner suspension system,Y-IT,9.01,,,
YLM2Y/300,2 Mtr x 300mm toggle carabiner suspension system,Y-IT,9.52,,,
YLM3Y/300,3 Mtr x 300mm toggle carabiner suspension system,Y-IT,10.03,,,
YLM1Y/460,1 Mtr x 460mm toggle carabiner suspension system,Y-IT,9.01,,,
YLM2Y/460,2 Mtr x 460mm toggle carabiner suspension system,Y-IT,9.52,,,
YLM3Y/460,3 Mtr x 460mm toggle carabiner suspension system,Y-IT,10.03,,,
ACSL3W1T/300LM,1 mtr 3 way support with architectural fixing 300mm legs,ARCHITECTURAL SUPPORTS,10.18,,,
ACSL3W2T/300LM,2 mtr 3 way support with architectural fixing 300mm legs,ARCHITECTURAL SUPPORTS,10.52,,,
ACSL3W3T/300LM,3 mtr 3 way support with architectural fixing 300mm legs,ARCHITECTURAL SUPPORTS,10.84,,,
ACPLCAK3W1T/300LM,1 mtr 3 way support with concrete fixing 300mm legs,ARCHITECTURAL SUPPORTS,8.71,,,
ACPLCAK3W2T/300LM,2 mtr 3 way support with concrete fixing 300mm legs,ARCHITECTURAL SUPPORTS,9.04,,,
ACPLCAK3W3T/300LM,3 mtr 3 way support with concrete fixing 300mm legs,ARCHITECTURAL SUPPORTS,9.38,,,
ACPLEK3W1T/300LM,1 mtr 3 way support with loop fixing 300mm legs,ARCHITECTURAL SUPPORTS,8.45,,,
ACPLEK3W2T/300LM,2 mtr 3 way support with loop fixing 300mm legs,ARCHITECTURAL SUPPORTS,8.79,,,
ACPLEK3W3T/300LM,3 mtr 3 way support with loop fixing 300mm legs,ARCHITECTURAL SUPPORTS,9.12,,,
ACSLM6MS1T,1 mtr single light suspension male thread M6 - architectural end,ARCHITECTURAL SUPPORTS,8.18,,,
ACSLM6MS2T,2 mtr single light suspension male thread M6 - architectural end,ARCHITECTURAL SUPPORTS,8.51,,,
ACSLM6MS3T,3 mtr single light suspension male thread M6 - architectural end,ARCHITECTURAL SUPPORTS,8.84,,,
ACPLCAKM6MS1T,1 mtr single light suspension male thread M6 - concrete end,ARCHITECTURAL SUPPORTS,6.45,,,
ACPLCAKM6MS2T,2 mtr single light suspension male thread M6 - concrete end,ARCHITECTURAL SUPPORTS,6.78,,,
ACPLCAKM6MS3T,3 mtr single light suspension male thread M6 - concrete end,ARCHITECTURAL SUPPORTS,7.12,,,
ACPLEKM6MS1T,1 mtr single light suspension male thread M6 - loop end,ARCHITECTURAL SUPPORTS,6.34,,,
ACPLEKM6MS2T,2 mtr single light suspension male thread M6 - loop end,ARCHITECTURAL SUPPORTS,6.67,,,
ACPLEKM6MS3T,3 mtr single light suspension male thread M6 - loop end,ARCHITECTURAL SUPPORTS,7.01,,,
ACSLM10MB1T,1 mtr single light suspension male thread M10 - architectural end,ARCHITECTURAL SUPPORTS,7.37,,,
ACSLM10MB2T,2 mtr single light suspension male thread M10 - architectural end,ARCHITECTURAL SUPPORTS,7.71,,,
ACSLM10MB3T,3 mtr single light suspension male thread M10 - architectural end,ARCHITECTURAL SUPPORTS,8.04,,,
ACPLCAKM10MB1T,1 mtr single light suspension male thread M10 - concrete end,ARCHITECTURAL SUPPORTS,5.88,,,
ACPLCAKM10MB2T,2 mtr single light suspension male thread M10 - concrete end,ARCHITECTURAL SUPPORTS,6.22,,,
ACPLCAKM10MB3T,3 mtr single light suspension male thread M10 - concrete end,ARCHITECTURAL SUPPORTS,6.56,,,
ACPLEKM10MB1T,1 mtr single light suspension male thread M10 - loop end,ARCHITECTURAL SUPPORTS,5.49,,,
ACPLEKM10MB2T,2 mtr single light suspension male thread M10 - loop end,ARCHITECTURAL SUPPORTS,5.83,,,
ACPLEKM10MB3T,3 mtr single light suspension male thread M10 - loop end,ARCHITECTURAL SUPPORTS,6.17,,,
ACSLM6FS1T,1 mtr single light suspension female thread M6 - architectural end,ARCHITECTURAL SUPPORTS,8.21,,,
ACSLM6FS2T,2 mtr single light suspension female thread M6 - architectural end,ARCHITECTURAL SUPPORTS,8.87,,,
ACSLM6FS3T,3 mtr single light suspension female thread M6 - architectural end,ARCHITECTURAL SUPPORTS,9.54,,,
ACPLCAKM6FS1T,1 mtr single light suspension female thread M6 - concrete end,ARCHITECTURAL SUPPORTS,6.45,,,
ACPLCAKM6FS2T,2 mtr single light suspension female thread M6 - concrete end,ARCHITECTURAL SUPPORTS,7.12,,,
ACPLCAKM6FS3T,3 mtr single light suspension female thread M6 - concrete end,ARCHITECTURAL SUPPORTS,7.77,,,
ACPLEKM6FS1T,1 mtr single light suspension female thread M6 - loop end,ARCHITECTURAL SUPPORTS,6.31,,,
ACPLEKM6FS2T,2 mtr single light suspension female thread M6 - loop end,ARCHITECTURAL SUPPORTS,6.95,,,
ACPLEKM6FS3T,3 mtr single light suspension female thread M6 - loop end,ARCHITECTURAL SUPPORTS,7.6,,,
ACSLGHSPR1T,1 mtr single light suspension gripper hook - architectural end,ARCHITECTURAL SUPPORTS,8.96,,,
ACSLGHSPR2T,2 mtr single light suspension gripper hook - architectural end,ARCHITECTURAL SUPPORTS,9.61,,,
ACSLGHSPR3T,3 mtr single light suspension gripper hook - architectural end,ARCHITECTURAL SUPPORTS,10.26,,,
ACPLCAKGHSPR1T,1 mtr single light suspension gripper hook - concrete end,ARCHITECTURAL SUPPORTS,7.87,,,
ACPLCAKGHSPR2T,2 mtr single light suspension gripper hook - concrete end,ARCHITECTURAL SUPPORTS,8.53,,,
ACPLCAKGHSPR3T,3 mtr single light suspension gripper hook - concrete end,ARCHITECTURAL SUPPORTS,9.18,,,
ACPLEKGHSPR1T,1 mtr single light suspension gripper hook - loop end,ARCHITECTURAL SUPPORTS,7.76,,,
ACPLEKGHSPR2T,2 mtr single light suspension gripper hook - loop end,ARCHITECTURAL SUPPORTS,8.38,,,
ACSL1G,1 mtr single dome suspension M6 c/w KL50 10kg SWL,ARCHITECTURAL SUPPORTS,6.48,,,
ACSL2G,2 mtr single dome suspension M6 c/w KL50 10kg SWL,ARCHITECTURAL SUPPORTS,6.82,,,
ACSL3G,3 mtr single dome suspension M6 c/w KL50 10kg SWL,ARCHITECTURAL SUPPORTS,7.15,,,
ACSL1T,1 mtr single dome suspension M6 c/w KL100 15kg SWL,ARCHITECTURAL SUPPORTS,6.8,,,
ACSL2T,2 mtr single dome suspension M6 c/w KL100 15kg SWL,ARCHITECTURAL SUPPORTS,7.13,,,
ACSL3T,3 mtr single dome suspension M6 c/w KL100 15kg SWL,ARCHITECTURAL SUPPORTS,7.45,,,
ACBPL1G,1 Mtr single base plate suspension,ARCHITECTURAL SUPPORTS,6.93,,,
ACBPL2G,2 Mtr single base plate suspension,ARCHITECTURAL SUPPORTS,7.26,,,
ACBPL3G,3 Mtr single base plate suspension,ARCHITECTURAL SUPPORTS,7.59,,,
ACBPL1T,1 Mtr single base plate suspension,ARCHITECTURAL SUPPORTS,6.93,,,
ACBPL2T,2 Mtr single base plate suspension,ARCHITECTURAL SUPPORTS,7.26,,,
ACBPL3T,3 Mtr single base plate suspension,ARCHITECTURAL SUPPORTS,7.59,,,
ASPA/CLG1,1 mtr acoustic panel suspension c/w spiral anchor - concrete end,ARCHITECTURAL SUPPORTS,7.17,,,
ASPA/CLG2,2 mtr acoustic panel suspension c/w spiral anchor - concrete end,ARCHITECTURAL SUPPORTS,7.42,,,
ASPA/CLG3,3 mtr acoustic panel suspension c/w spiral anchor - concrete end,ARCHITECTURAL SUPPORTS,7.66,,,
ASPA/PLEK1G,1 mtr acoustic panel suspension c/w spiral anchor - loop end,ARCHITECTURAL SUPPORTS,7.01,,,
ASPA/PLEK2G,2 mtr acoustic panel suspension c/w spiral anchor - loop end,ARCHITECTURAL SUPPORTS,7.25,,,
ASPA/PLEK3G,3 mtr acoustic panel suspension c/w spiral anchor - loop end,ARCHITECTURAL SUPPORTS,7.51,,,
ASPA/ACSL1G,1 mtr acoustic panel suspension c/w spiral anchor - C-slot dome end,ARCHITECTURAL SUPPORTS,10.06,,,
ASPA/ACSL2G,2 mtr acoustic panel suspension c/w spiral anchor - C-slot dome end,ARCHITECTURAL SUPPORTS,10.55,,,
ASPA/ACSL3G,3 mtr acoustic panel suspension c/w spiral anchor - C-slot dome end,ARCHITECTURAL SUPPORTS,11.04,,,
ASPA,Spiral Anchor for acoustic panel suspension,ARCHITECTURAL SUPPORTS,2.99,,,
GLHCS5Y,5 Mtr horizontal suspension system,SPAN-LOCK,21.37,,,
GLHCS10Y,10 Mtr horizontal suspension system,SPAN-LOCK,25.08,,,
GLHCS15Y,15 Mtr horizontal suspension system,SPAN-LOCK,28.74,,,
GLHCS20Y,20 Mtr horizontal suspension system,SPAN-LOCK,32.39,,,
GLHCS30Y,30 Mtr horizontal suspension system,SPAN-LOCK,39.69,,,
GLHCS40Y,40 Mtr horizontal suspension system,SPAN-LOCK,47.01,,,
GLHCS5P,5 Mtr horizontal suspension system,SPAN-LOCK,33.95,,,
GLHCS10P,10 Mtr horizontal suspension system,SPAN-LOCK,41.46,,,
GLHCS15P,15 Mtr horizontal suspension system,SPAN-LOCK,48.96,,,
GLHCS20P,20 Mtr horizontal suspension system,SPAN-LOCK,56.47,,,
GLHCS30P,30 Mtr horizontal suspension system,SPAN-LOCK,71.48,,,
GLHCS40P,40 Mtr horizontal suspension system,SPAN-LOCK,86.44,,,
GLHCS5N,5 Mtr horizontal suspension system,SPAN-LOCK,39.79,,,
GLHCS10N,10 Mtr horizontal suspension system,SPAN-LOCK,48.46,,,
GLHCS15N,15 Mtr horizontal suspension system,SPAN-LOCK,57.12,,,
GLHCS20N,20 Mtr horizontal suspension system,SPAN-LOCK,64.79,,,
GLHCS30N,30 Mtr horizontal suspension system,SPAN-LOCK,83.28,,,
GLHCS40N,40 Mtr horizontal suspension system,SPAN-LOCK,100.62,,,
GLG1/1,1 Mtr vertical suspension system M6,ZIP-GRIP,7.56,,,
GLG2/1,2 Mtr vertical suspension system M6,ZIP-GRIP,8.13,,,
GLG3/1,3 Mtr vertical suspension system M6,ZIP-GRIP,8.67,,,
GLG4/1,4 Mtr vertical suspension system M6,ZIP-GRIP,9.25,,,
GLG5/1,5 Mtr vertical suspension system M6,ZIP-GRIP,10.74,,,
GLG10/1,10 Mtr vertical suspension system M6,ZIP-GRIP,16.19,,,
GLS1/1,1 Mtr vertical suspension system M6,ZIP-GRIP,8.42,,,
GLS2/1,2 Mtr vertical suspension system M6,ZIP-GRIP,9.03,,,
GLS3/1,3 Mtr vertical suspension system M6,ZIP-GRIP,9.64,,,
GLS4/1,4 Mtr vertical suspension system M6,ZIP-GRIP,10.25,,,
GLS5/1,5 Mtr vertical suspension system M6,ZIP-GRIP,11.88,,,
GLS10/1,10 Mtr vertical suspension system M6,ZIP-GRIP,17.88,,,
GLG1/3,1 Mtr vertical suspension system M8,ZIP-GRIP,8.17,,,
GLG2/3,2 Mtr vertical suspension system M8,ZIP-GRIP,8.78,,,
GLG3/3,3 Mtr vertical suspension system M8,ZIP-GRIP,9.39,,,
GLG4/3,4 Mtr vertical suspension system M8,ZIP-GRIP,10.0,,,
GLG5/3,5 Mtr vertical suspension system M8,ZIP-GRIP,11.77,,,
GLG10/3,10 Mtr vertical suspension system M8,ZIP-GRIP,18.11,,,
GLS1/3,1 Mtr vertical suspension system M8,ZIP-GRIP,9.86,,,
GLS2/3,2 Mtr vertical suspension system M8,ZIP-GRIP,10.47,,,
GLS3/3,3 Mtr vertical suspension system M8,ZIP-GRIP,11.08,,,
GLS4/3,4 Mtr vertical suspension system M8,ZIP-GRIP,11.69,,,
GLS5/3,5 Mtr vertical suspension system M8,ZIP-GRIP,13.59,,,
GLS10/3,10 Mtr vertical suspension system M8,ZIP-GRIP,20.91,,,
BLK/KL100,Zip-Clip Rize KL100 50kg SWL,BLACK-LOCK,3.1,,,
BLK/R100S,100 Mtrs 50kg SWL S Wire Compatible With KL100,BLACK-LOCK,45.34,,,
BLK/R200S,200 Mtrs 50kg SWL S Wire Compatible With KL100,BLACK-LOCK,90.68,,,
TPDM1020ZLY1/FSS,1 Mtr Eyelet SS Suspension System,FIRE STRUT-LOCK,8.64,,,
TPDM1020ZLY2/FSS,2 Mtr Eyelet SS Suspension System,FIRE STRUT-LOCK,9.83,,,
TPDM1020ZLY3/FSS,3 Mtr Eyelet SS Suspension System,FIRE STRUT-LOCK,11.03,,,
TPDM1020ZLY4/FSS,4 Mtr Eyelet SS Suspension System,FIRE STRUT-LOCK,12.23,,,
TPDM1020ZLY5/FSS,5 Mtr Eyelet SS Suspension System,FIRE STRUT-LOCK,15.44,,,
TPDM1020ZLY10/FSS,10 Mtr Eyelet SS Suspension System,FIRE STRUT-LOCK,23.56,,,
TPDM1020TH35Y1/FSS,1 Mtr Threaded SS Suspension System,FIRE STRUT-LOCK,9.95,,,
TPDM1020TH35Y2/FSS,2 Mtr Threaded SS Suspension System,FIRE STRUT-LOCK,11.32,,,
TPDM1020TH35Y3/FSS,3 Mtr Threaded SS Suspension System,FIRE STRUT-LOCK,12.67,,,
TPDM1020TH35Y4/FSS,4 Mtr Threaded SS Suspension System,FIRE STRUT-LOCK,14.04,,,
TPDM1020TH35Y5/FSS,5 Mtr Threaded SS Suspension System,FIRE STRUT-LOCK,16.87,,,
TPDM1020TH35Y10/FSS,10 Mtr Threaded SS Suspension System,FIRE STRUT-LOCK,24.38,,,
CUT1,Heavy Duty Wire Cutters,ACCESSORIES,55.26,,,
TT1,Tensioning Tool,ACCESSORIES,205.12,,,
CPA1,Corner Protector,ACCESSORIES,0.27,,,
CPA1MAG,Magnetic Corner Protector,ACCESSORIES,0.35,,,
UNI1,M6 x 20mm Universal Eyebolt with Flange Nut,ACCESSORIES,0.61,,,
UNI2,M6 x 45mm Universal Eyebolt with Flange Nut,ACCESSORIES,1.36,,,
UNI3,M8 x 25mm Universal Eyebolt with Flange Nut,ACCESSORIES,1.57,,,
UNI6M60,M6 x 60mm Closed Eyebolt,ACCESSORIES,2.03,,,
UNI8M60,M8 x 80mm Closed Eyebolt,ACCESSORIES,2.03,,,
UNI10M60,M10 x 80mm Closed Eyebolt,ACCESSORIES,2.39,,,
ATLDM6,M6 Standard Drop In Anchor,ACCESSORIES,0.52,,,
ATLDM8,M8 Standard Drop In Anchor,ACCESSORIES,0.64,,,
ATLDM6/ST,Standard Setting Tool for M6 Drop In Anchor,ACCESSORIES,13.12,,,
ATLDM8/ST,Standard Setting Tool for M8 Drop In Anchor,ACCESSORIES,13.12,,,
PVC100S,PVC 100 Metre Reel x 3mm,ACCESSORIES,74.42,,,
PVC100P,PVC 100 Metre Reel x 6mm,ACCESSORIES,85.97,,,
HCB1,Uni-Lock Bracket 7mm,ACCESSORIES,0.59,,,
HCB2,Uni-Lock Bracket 14mm,ACCESSORIES,0.99,,,
HCB3,90 Degree Uni-Lock Bracket suitable for Y wire,ACCESSORIES,2.03,,,
MA6810,Multiwedge Decking Fixing,ACCESSORIES,3.89,,,
MA300HEX,300mm Magnetic Bit Holder for MA6810,ACCESSORIES,11.39,,,
CLA1,Universal Concrete Anchor,ACCESSORIES,1.36,,,
CLA2,Concrete Spike,ACCESSORIES,1.05,,,
T920514,Vertical Flange Clip 1-5mm,ACCESSORIES,1.2,,,
T920515,Vertical Flange Clip 5-7mm,ACCESSORIES,1.2,,,
HCBP1,Shot Fired Fastener for Concrete and Steel,ACCESSORIES,1.22,,,
SFN19,19mm Ballistic Point Nail,ACCESSORIES,0.27,,,
SFN27,27mm Ballistic Point Nail,ACCESSORIES,0.27,,,
SFSCG,Powder Actuated Cartridge - Low Power,ACCESSORIES,0.38,,,
SFSCY,Powder Actuated Cartridge - Medium Power,ACCESSORIES,0.38,,,
SFSCR,Powder Actuated Cartridge - High Power,ACCESSORIES,0.38,,,
